Sat1.Earth.RadPer         Sat1.Earth.RadApo         Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.Earth.HMAG           Sat1.EarthMJ2000Eq.HX     Sat1.EarthMJ2000Eq.HY     Sat1.EarthMJ2000Eq.HZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     
28000.00000002294         52000.00000000931         -4.982505518747992        79616.11243393851         120453.5432048748         1.091393642127514e-11     -92272.7674260861         77426.0451149357          -33871.77298637032        -20535.8242589212         -24473.64233745269        2.270573567802884         -0.9092510560925403       -1.083603212668366        
28000.00000002337         52000.00000001236         -4.982505518747775        79616.11243394371         120453.5432048766         7.275957614183426e-12     -92272.76742608752        77426.04511493689         -29786.49197896044        -21968.98198750847        -26181.61320925073        2.494697743931398         -0.7594071611456492       -0.9050262125370988       
28000.00000002373         52000.00000001572         -4.982505518747543        79616.11243394928         120453.5432048785         1.818989403545857e-12     -92272.76742608893        77426.04511493808         -25505.65214755433        -23086.84784963664        -27513.83386648041        2.698066874506855         -0.5934443709766114       -0.7072394611161886       
28000.00000002399         52000.0000000192          -4.982505518747311        79616.11243395486         120453.5432048803         -1.818989403545857e-12    -92272.7674260903         77426.04511493922         -21102.65554434884        -23883.68090581445        -28463.46252387814        2.87747109402336          -0.4123388012136069       -0.4914062477123062       
28000.00000002425         52000.00000002263         -4.982505518747081        79616.11243396034         120453.543204882          -4.547473508864641e-12    -92272.76742609164        77426.04511494035         -16648.96324985639        -24360.99148188989        -29032.29911769926        3.029709824630222         -0.2173895052928673       -0.2590747239250527       
28000.00000002456         52000.00000002569         -4.982505518746871        79616.11243396538         120453.5432048837         -3.183231456205249e-12    -92272.76742609293        77426.04511494142         -12211.69756497951        -24526.8684576927         -29229.98359954092        3.15169231953117          -0.01022807631907255      -0.01218934669858236      
28000.00000002501         52000.00000002811         -4.982505518746693        79616.11243396967         120453.5432048853         -2.728484105318785e-12    -92272.76742609417        77426.04511494246         -7851.684444305315        -24394.95630513236        -29072.77681782029        3.240539649814051         0.2071884140096958        0.246917536739952         
28000.00000002568         52000.00000002961         -4.982505518746557        79616.11243397293         120453.5432048868         -1.818989403545857e-12    -92272.76742609534        77426.04511494345         -3622.251331001616        -23983.21567288273        -28582.08344011979        3.293678360035519         0.4325910070027662        0.5155418867194942        
28000.00000002662         52000.00000002998         -4.982505518746475        79616.11243397489         120453.5432048883         -7.275957614183426e-12    -92272.76742609649        77426.04511494443         431.5094806121635         -23312.60832542244        -27782.88472456392        3.308929080708878         0.6634326536048935        0.7906482483779429        
28000.00000002786         52000.00000002914         -4.98250551874645         79616.11243397546         120453.5432048897         -1.091393642127514e-11    -92272.76742609755        77426.0451149453          4272.58080469489          -22405.87254524239        -26702.27910100063        3.28458113300947          0.8969143146494407        1.068900856732646         
28000.00000002942         52000.0000000271          -4.98250551874648         79616.11243397475         120453.543204891          -3.637978807091713e-12    -92272.76742609857        77426.04511494614         7871.480955262655         -21286.49243404265        -25368.25383199982        3.219464788660691         1.130020170284059         1.34670559763995          
28000.00000003123         52000.00000002416         -4.98250551874655         79616.11243397305         120453.5432048924         -3.637978807091713e-12    -92272.76742609959        77426.04511494702         11205.29895545573         -19977.95711871218        -23808.80216891834        3.113025177883197         1.359549768576928         1.620248321012183         
28000.00000003323         52000.00000002056         -4.98250551874665         79616.11243397069         120453.5432048937         0                         -92272.76742610062        77426.04511494788         14256.71378581074         -18503.26779665153        -22051.33587139224        2.965399615509851         1.582164182010258         1.885549847984606         
28000.00000003529         52000.00000001691         -4.982505518746749        79616.1124339683          120453.5432048952         1.455191522836685e-11     -92272.76742610171        77426.04511494878         17013.02350153637         -16884.67936576995        -20122.3772939577         2.777495692622748         1.794444174044056         2.138535291126756         
28000.00000003728         52000.00000001384         -4.982505518746816        79616.1124339667          120453.5432048967         7.275957614183426e-12     -92272.76742610286        77426.04511494975         19465.29567521884         -15143.63140490585        -18047.47713171907        2.551065060071569         1.992965162336574         2.375123392129718         
28000.00000003904         52000.00000001166         -4.982505518746843        79616.11243396608         120453.5432048983         7.275957614183426e-12     -92272.76742610411        77426.04511495079         21607.89356305312         -13300.63534152635        -15851.07995204956        2.288736897062224         2.174408630685188         2.591359297386933         
28000.00000004048         52000.00000001099         -4.982505518746795        79616.11243396721         120453.5432049            0                         -92272.76742610542        77426.04511495189         23438.02592253193         -11375.21875032023        -13556.45781223917        1.994009977083149         2.33568072738936          2.783555898019331         
28000.0000000415          52000.00000001203         -4.982505518746667        79616.11243397027         120453.5432049018         3.637978807091713e-12     -92272.76742610683        77426.04511495307         24955.46189311331         -9385.742274651953        -11185.49207497984        1.67117041484473          2.474042378724123         2.948448893074802         
28000.00000004208         52000.00000001461         -4.98250551874647         79616.11243397502         120453.5432049037         0                         -92272.76742610827        77426.04511495429         26162.1966351581          -7349.132747838732        -8758.355354688578        1.325135473591742         2.587223448955221         3.083332840136371         
